Xaux_1,Xaux_2,Xaux_3,Xaux_4,Xaux_5,Xaux_6,Xaux_7,Xaux_8,Xaux_9,Var2
0.23965,0.55989,-0.52189,0.11375,0.35368,0.38656,-0.36803,0.14827,0.083086,d
0.15846,0.44081,-0.6097,0.096555,0.28515,0.28809,-0.44528,0.14881,0.065143,b
0.11936,0.35019,-0.62062,0.027967,0.16931,0.30345,-0.4372,0.042749,0.071348,d
0.082666,0.28148,-0.65265,0.017515,0.12037,0.25549,-0.52099,0.029159,0.055011,d
0.083003,0.32443,-0.54634,0.042561,0.28513,0.22656,-0.40651,0.088615,0.034916,d
0.049768,0.25808,-0.52284,0.031763,0.18212,0.16395,-0.45323,0.050539,0.01431,d
0.089097,0.35628,-0.49897,0.088619,0.28852,0.20454,-0.43815,0.11266,0.017795,d
0.11654,0.3942,-0.48823,0.10309,0.40197,0.20762,-0.35668,0.16194,0.034123,d
0.25368,0.59409,-0.69834,0.09483,0.3223,0.33091,-0.47072,0.15305,0.066079,b
0.20593,0.40149,-0.58531,0.02926,0.20462,0.4222,-0.41632,0.055052,0.17325,d
0.089295,0.33322,-0.52332,0.044915,0.28712,0.21835,-0.41602,0.097332,0.03522,d
0.24126,0.55039,-0.55901,0.098055,0.35937,0.42435,-0.38529,0.12756,0.088919,d
0.18295,0.44106,-0.46931,0.056223,0.32979,0.33866,-0.39842,0.11378,0.10261,d
0.021069,0.16276,-0.65192,0.0063863,0.060363,0.12517,-0.5475,0.011443,0.0077221,d
0.24882,0.54964,-0.4994,0.19504,0.59308,0.43688,-0.31403,0.31407,0.15113,d
0.05082,0.23241,-0.78403,0.012101,0.077455,0.16079,-0.67174,0.022485,0.028585,b
